333707,235195,95
466516,386972,90
406304,746584,96
27006,71897,63
378730,935608,91
743284,740554,92
399876,69984,64
128477,225899,93
7551,553819,36
624542,761282,96
581914,429786,95
242174,638590,98
124019,403024,99
1194,728571,16
270298,21519,13
18091,856407,80
816687,75717,43
258571,50195,86
642263,138253,93
31228,540962,92
377520,732871,99
7721,459133,32
169452,43787,94
102040,73587,67
982813,678295,97
101156,371766,61
155578,216141,93
626382,211568,53
290119,143222,50
71154,299086,81
72293,290453,100
771105,91383,92
94862,900373,97
199588,126418,42
811918,172561,91
663346,556050,94
381359,778459,100
75406,495094,100
904979,936253,97
851425,572252,92
337138,97747,60
53231,83997,88
555655,398541,93
71543,675999,100
481360,658320,18
70888,48767,87
86374,6316,96
293675,38375,21
992055,275073,97
325974,1295,80
375804,371715,96
662119,390503,13
672315,442240,97
520936,150882,95
549511,931035,97
964426,116381,92
214580,452025,86
461963,849490,91
51937,237453,80
377981,233812,43
109334,70360,49
316799,468840,52
875621,66885,90
976194,258171,44
902850,116110,98
656167,30842,76
933290,94057,69
389654,52283,100
942192,681776,84
9153,78562,91
560168,974322,94
366711,794791,97
5089,357761,70
60854,5982,85
75498,985936,100
149022,588376,100
338578,715037,93
410580,51618,30
720631,131976,74
441982,10610,12
29447,730056,94
231128,29971,93
867699,875357,79
170739,131561,96
107654,54875,94
337589,714009,96
495640,340677,97
557054,813359,90
939577,769525,93
99099,62524,47
287732,288015,16
21342,402761,34
102986,4430,24
411988,989724,91
252768,77540,50
513396,683051,94
847346,222692,98
260865,72399,61
35692,47503,89
424139,92715,41
804683,166977,99
989502,504734,78
663147,98124,78
101073,512068,93
835231,101689,95
417230,600601,99
8380,24770,71
219315,366597,95
233285,274925,13
223418,603919,95
517420,11984,17
687791,991316,99
124997,945587,68
421895,157309,12
430395,276575,49
445428,69285,99
366954,414034,100
515599,659427,63
457579,16030,43
713213,124881,92
25391,195287,51
75427,500661,86
356402,180929,96
306466,528205,97
723602,594723,38
115746,380013,97
397026,25821,92
888297,899522,95
39669,305165,94
139476,602226,99
854233,549102,95
759460,232556,97
611985,719004,95
281861,87863,85
164503,58977,25
135342,661971,24
256707,396738,48
355342,740043,95
792137,489153,93
242637,137510,33
586012,743493,99
140031,942969,52
681047,482581,100
35062,984941,96
420737,27649,8
20413,130178,99
435314,761673,44
527452,322136,60
177459,248591,93
445404,519531,90
448958,907932,82
880734,117226,1
653196,150857,12
472961,466670,100
802065,391967,92
260515,433073,100
209152,885787,98
898849,31932,76
182789,606955,95
73624,11299,84
288882,628529,100
931198,18672,7
971306,253963,94
138342,23781,95
27244,965462,45
422889,344661,98
15828,41746,67
35151,666634,97
146726,94226,93
534403,412728,98
8333,837359,93
530799,281655,59
795922,673798,93
13798,728911,93
654744,12119,92
717423,508356,85
520474,959391,100
551002,528508,97
436207,745661,92
56432,261862,93
141476,120865,99
882476,859833,92
109390,118202,36
896794,790074,99
283051,4990,58
85243,341843,51
180996,860093,98
151484,20994,97
99796,96587,25
980170,663883,91
582362,848864,92
20177,135651,18
463392,26501,63
937781,7768,19
36524,157294,98
137483,754895,100
713562,383511,100
550633,384390,79
54687,7850,37
324453,97664,98
12823,667,26
9469,15852,37
369693,115131,93
68736,547985,48
358390,410953,65
420981,5507,100
970161,539828,96
684500,169400,23
46834,658242,94
80459,528368,95
930987,1573,87
2384,469717,97
10494,195642,16
844543,4697,76
510795,146320,72
542201,810580,94
26243,158081,43
87108,819682,98
468583,409132,91
5466,946193,82
37356,171604,42
899692,447888,100
12761,363290,55
615849,73339,93
32232,990943,97
459606,656434,15
566564,693837,97
30837,305621,88
5553,569534,95
661517,389234,9
380176,934716,92
70718,492606,100
578491,328392,90
246410,631414,86
396511,316820,98
325777,962986,93
12886,898086,29
404914,42528,99
919093,17416,93
124763,915639,98
33700,272950,83
805657,835318,87
910889,278335,91
708883,401230,15
63596,451144,84
13850,827124,99
231958,47277,8
4440,97610,17
95793,333847,13
917813,54961,24
38496,799342,57
388610,282594,100
418297,9620,59
941321,331375,97
745069,13499,78
98834,753391,44
543926,6034,98
162316,758550,64
972043,53397,93
328299,887437,94
501456,153169,91
974504,989569,99
433138,879272,58
672391,712375,99
1210,901791,93
30620,663965,95
30688,558179,98
2195,5117,5
175615,396458,91
25729,347974,42
303781,776634,22
535657,604753,97
682090,831710,67
5819,165188,82
157275,61896,0
204084,177913,95
206477,175252,42
5101,578291,93
505702,753743,92
312743,89714,74
859810,678821,85
138162,73682,98
974802,298164,98
87307,105444,80
969612,643089,97
37684,326009,43
555285,412548,95
82680,63217,100
23287,229973,97
684376,168279,95
241955,400262,81
407375,941858,92
242287,895947,98
6020,314383,97
329407,617350,98
19188,814160,65
672435,598917,91
373906,947536,95
549092,932006,100
336499,471033,94
226644,808351,85
26235,142234,76
228761,712542,44
51612,140780,77
245196,43389,54
17713,451560,47
450724,720730,90
131500,195054,35
604907,356909,98
723653,379262,98
106775,13248,95
45901,656740,4
273854,284477,4
72962,88203,92
40691,159567,97
